title,company,location,link
추천 통계분석/데이터사이언티스트,카카오,성남 판교역,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=Python&as_phr&as_any&as_not&as_ttl&as_cmp&jt=all&st&salary&radius=100&l=%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%95%88%EC%96%91&fromage=any&limit=50&sort&psf=advsrch&from=advancedsearch&vjk=bfe0f5ac4f32ec89
백엔드 개발자,Nexon,성남 분당구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=Python&as_phr&as_any&as_not&as_ttl&as_cmp&jt=all&st&salary&radius=100&l=%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%95%88%EC%96%91&fromage=any&limit=50&sort&psf=advsrch&from=advancedsearch&vjk=5964e895e5eaa8e5
Deep Learning Researcher (Intern),Qualcomm Korea YH,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=Python&as_phr&as_any&as_not&as_ttl&as_cmp&jt=all&st&salary&radius=100&l=%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%95%88%EC%96%91&fromage=any&limit=50&sort&psf=advsrch&from=advancedsearch&vjk=0f7993638aee82bd
기술연구소 (AI연구 및 Python개발 / 드론 영상처리),선영종합엔지니어링,고양 덕양구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=Python&as_phr&as_any&as_not&as_ttl&as_cmp&jt=all&st&salary&radius=100&l=%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%95%88%EC%96%91&fromage=any&limit=50&sort&psf=advsrch&from=advancedsearch&vjk=c130ad24ffc25b72
(주)아이셋디에이 21년 상반기 신입/경력사원 (RPA),아이셋디에이,성남 분당구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=Python&as_phr&as_any&as_not&as_ttl&as_cmp&jt=all&st&salary&radius=100&l=%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%95%88%EC%96%91&fromage=any&limit=50&sort&psf=advsrch&from=advancedsearch&vjk=ef0c40523c73de6a
(분당/3200만이상)만도연구소 연구원,휴먼앤,성남 분당구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=Python&as_phr&as_any&as_not&as_ttl&as_cmp&jt=all&st&salary&radius=100&l=%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%95%88%EC%96%91&fromage=any&limit=50&sort&psf=advsrch&from=advancedsearch&vjk=404eaa3ecdb54c95
매칭 데이터분석,Nexon,성남 분당구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=Python&as_phr&as_any&as_not&as_ttl&as_cmp&jt=all&st&salary&radius=100&l=%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%95%88%EC%96%91&fromage=any&limit=50&sort&psf=advsrch&from=advancedsearch&vjk=15edcadd124ad99a
모니터링 솔루션 개발자 모집,카카오,성남 판교역,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=Python&as_phr&as_any&as_not&as_ttl&as_cmp&jt=all&st&salary&radius=100&l=%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%95%88%EC%96%91&fromage=any&limit=50&sort&psf=advsrch&from=advancedsearch&vjk=e99d30a8f6947b41
악성코드 및 엔드포인트 위협 대응 보안 엔지니어 모집,카카오,성남 판교역,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=Python&as_phr&as_any&as_not&as_ttl&as_cmp&jt=all&st&salary&radius=100&l=%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%95%88%EC%96%91&fromage=any&limit=50&sort&psf=advsrch&from=advancedsearch&vjk=c71c1fa9e0d43937
추천 시스템 연구/개발,카카오,성남 판교역,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=Python&as_phr&as_any&as_not&as_ttl&as_cmp&jt=all&st&salary&radius=100&l=%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%95%88%EC%96%91&fromage=any&limit=50&sort&psf=advsrch&from=advancedsearch&vjk=be6c1f03fa566f8e
추천 시스템 소프트웨어 엔지니어,카카오,성남 판교역,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=Python&as_phr&as_any&as_not&as_ttl&as_cmp&jt=all&st&salary&radius=100&l=%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%95%88%EC%96%91&fromage=any&limit=50&sort&psf=advsrch&from=advancedsearch&vjk=07375dc4e800dfa9
PostgreSQL 운영 및 데이터베이스 관리자 모집,카카오,성남 판교역,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=Python&as_phr&as_any&as_not&as_ttl&as_cmp&jt=all&st&salary&radius=100&l=%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%95%88%EC%96%91&fromage=any&limit=50&sort&psf=advsrch&from=advancedsearch&vjk=c39d18040425ef53
FPGA 플랫폼 엔지니어 (딥러닝 하드웨어 프로세서 개발),딥엑스,성남 분당구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=Python&as_phr&as_any&as_not&as_ttl&as_cmp&jt=all&st&salary&radius=100&l=%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%95%88%EC%96%91&fromage=any&limit=50&sort&psf=advsrch&from=advancedsearch&vjk=e5448ffc7d6ecf02
네트워크 엔지니어링,NHN,성남 판교역,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=Python&as_phr&as_any&as_not&as_ttl&as_cmp&jt=all&st&salary&radius=100&l=%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%95%88%EC%96%91&fromage=any&limit=50&sort&psf=advsrch&from=advancedsearch&vjk=918468d6e12a17e8
(주)코인플러그 서버 개발자,코인플러그,성남 분당구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=Python&as_phr&as_any&as_not&as_ttl&as_cmp&jt=all&st&salary&radius=100&l=%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%95%88%EC%96%91&fromage=any&limit=50&sort&psf=advsrch&from=advancedsearch&vjk=f2be917c394cbe91
"신경망 연구자 ,",에스알유니버스,서울 마포구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=Python&as_phr&as_any&as_not&as_ttl&as_cmp&jt=all&st&salary&radius=100&l=%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%95%88%EC%96%91&fromage=any&limit=50&sort&psf=advsrch&from=advancedsearch&vjk=30687f96de13a2f7
[웹젠] 사내IT인프라(신입/경력),웹젠,성남 분당구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=Python&as_phr&as_any&as_not&as_ttl&as_cmp&jt=all&st&salary&radius=100&l=%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%95%88%EC%96%91&fromage=any&limit=50&sort&psf=advsrch&from=advancedsearch&vjk=10c5107f8bac04ff
(데이터개발) API플랫폼 개발자,Nexon,성남 분당구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=Python&as_phr&as_any&as_not&as_ttl&as_cmp&jt=all&st&salary&radius=100&l=%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%95%88%EC%96%91&fromage=any&limit=50&sort&psf=advsrch&from=advancedsearch&vjk=1c2dec1a2156f6aa
머신러닝 엔지니어 모집,카카오,성남 판교역,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=Python&as_phr&as_any&as_not&as_ttl&as_cmp&jt=all&st&salary&radius=100&l=%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%95%88%EC%96%91&fromage=any&limit=50&sort&psf=advsrch&from=advancedsearch&vjk=269f9a96319ef19a
데이터 엔지니어 및 사이언티스트,카카오,성남 판교역,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=Python&as_phr&as_any&as_not&as_ttl&as_cmp&jt=all&st&salary&radius=100&l=%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%95%88%EC%96%91&fromage=any&limit=50&sort&psf=advsrch&from=advancedsearch&vjk=d8a8869ab092f731
[법무법인(유) 율촌] 로펌 경영정보팀,법무법인 (유한)율촌,서울 강남구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=Python&as_phr&as_any&as_not&as_ttl&as_cmp&jt=all&st&salary&radius=100&l=%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%95%88%EC%96%91&fromage=any&limit=50&sort&psf=advsrch&from=advancedsearch&vjk=94d2429fcb791b3d
"S/W 엔지니어, 데이터분석 신입/경력 정규직, 인턴",가치랩스,성남 분당구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=Python&as_phr&as_any&as_not&as_ttl&as_cmp&jt=all&st&salary&radius=100&l=%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%95%88%EC%96%91&fromage=any&limit=50&sort&psf=advsrch&from=advancedsearch&vjk=5ea9ea023c6ccc03
경험최적화 - 데이터 사이언티스트/분석가,Nexon,성남 분당구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=Python&as_phr&as_any&as_not&as_ttl&as_cmp&jt=all&st&salary&radius=100&l=%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%95%88%EC%96%91&fromage=any&limit=50&sort&psf=advsrch&from=advancedsearch&vjk=1b62babbbf2d717a
게임이상탐지 분석/개발,Nexon,성남 분당구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=Python&as_phr&as_any&as_not&as_ttl&as_cmp&jt=all&st&salary&radius=100&l=%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%95%88%EC%96%91&fromage=any&limit=50&sort&psf=advsrch&from=advancedsearch&vjk=4ec305f59ce64060
미국 법인 보안 담당자,NHN,성남 판교역,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=Python&as_phr&as_any&as_not&as_ttl&as_cmp&jt=all&st&salary&radius=100&l=%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%95%88%EC%96%91&fromage=any&limit=50&sort&psf=advsrch&from=advancedsearch&vjk=7420bd6ad89ff63a
"[광고 추천] 데이터 과학자, 기계학습(머신러닝) 전문가 모집",카카오,성남 판교역,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=Python&as_phr&as_any&as_not&as_ttl&as_cmp&jt=all&st&salary&radius=100&l=%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%95%88%EC%96%91&fromage=any&limit=50&sort&psf=advsrch&from=advancedsearch&vjk=8c32b5db8ab28c7d
매칭 기획,Nexon,성남 분당구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=Python&as_phr&as_any&as_not&as_ttl&as_cmp&jt=all&st&salary&radius=100&l=%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%95%88%EC%96%91&fromage=any&limit=50&sort&psf=advsrch&from=advancedsearch&vjk=36c48cb9bc2758cb
보안 분야,NHN,성남 판교역,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=Python&as_phr&as_any&as_not&as_ttl&as_cmp&jt=all&st&salary&radius=100&l=%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%95%88%EC%96%91&fromage=any&limit=50&sort&psf=advsrch&from=advancedsearch&vjk=06d133676285b02e
Software Engineer - Robotics,Canonical - Jobs,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=Python&as_phr&as_any&as_not&as_ttl&as_cmp&jt=all&st&salary&radius=100&l=%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%95%88%EC%96%91&fromage=any&limit=50&sort&psf=advsrch&from=advancedsearch&vjk=d864fe9b25cf37cc
데이터 엔지니어 및 사이언티스트,카카오,성남 판교역,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=Python&as_phr&as_any&as_not&as_ttl&as_cmp&jt=all&st&salary&radius=100&l=%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%95%88%EC%96%91&fromage=any&limit=50&sort&psf=advsrch&from=advancedsearch&vjk=d8a8869ab092f731
Application Engineer - HAV,Siemens,경기도 성남,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=Python&as_phr&as_any&as_not&as_ttl&as_cmp&jt=all&st&salary&radius=100&l=%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%95%88%EC%96%91&fromage=any&limit=50&sort&psf=advsrch&from=advancedsearch&vjk=7fccab444e235947
Computer Vision 개발자,인텔리코리아,서울 금천구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=Python&as_phr&as_any&as_not&as_ttl&as_cmp&jt=all&st&salary&radius=100&l=%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%95%88%EC%96%91&fromage=any&limit=50&sort&psf=advsrch&from=advancedsearch&vjk=79ac23969bbd20ba
Software Quality Engineer,Electronic Arts,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=Python&as_phr&as_any&as_not&as_ttl&as_cmp&jt=all&st&salary&radius=100&l=%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%95%88%EC%96%91&fromage=any&limit=50&sort&psf=advsrch&from=advancedsearch&vjk=2ad85b06dc1bc1a4
"NAVER, LINE 서비스 플랫폼 운영",NIT Service,성남 삼평동,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=Python&as_phr&as_any&as_not&as_ttl&as_cmp&jt=all&st&salary&radius=100&l=%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%95%88%EC%96%91&fromage=any&limit=50&sort&psf=advsrch&from=advancedsearch&vjk=5e7dc1196f13b938
Cognitive and AI Engineer,IBM,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=Python&as_phr&as_any&as_not&as_ttl&as_cmp&jt=all&st&salary&radius=100&l=%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%95%88%EC%96%91&fromage=any&limit=50&sort&psf=advsrch&from=advancedsearch&vjk=56ae562b9563988d
카카오 전사 QA 모집,카카오,성남 판교역,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=Python&as_phr&as_any&as_not&as_ttl&as_cmp&jt=all&st&salary&radius=100&l=%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%95%88%EC%96%91&fromage=any&limit=50&sort&psf=advsrch&from=advancedsearch&vjk=a2b38b230474e622
Data Analyst,뱅크샐러드,서울 영등포구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=Python&as_phr&as_any&as_not&as_ttl&as_cmp&jt=all&st&salary&radius=100&l=%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%95%88%EC%96%91&fromage=any&limit=50&sort&psf=advsrch&from=advancedsearch&vjk=34f22fafb415ec3c
(유망벤처기업)데이터 사이언티스트,인코리아 프로페셔널,서울 강남구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=Python&as_phr&as_any&as_not&as_ttl&as_cmp&jt=all&st&salary&radius=100&l=%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%95%88%EC%96%91&fromage=any&limit=50&sort&psf=advsrch&from=advancedsearch&vjk=219ea412c514e15c
[전문연구요원] R&D 부문 개발자 병역특례,스칼라웍스,서울 금천구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?as_and=Python&as_phr&as_any&as_not&as_ttl&as_cmp&jt=all&st&salary&radius=100&l=%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%95%88%EC%96%91&fromage=any&limit=50&sort&psf=advsrch&from=advancedsearch&vjk=2ba9d984a21e03b1
